"State","Year","Week","Predicted_Deaths"
"Arkansas",2021,12,663.984996882934
"Arkansas",2021,13,658.825997887655
"Arkansas",2021,14,644.401274941052
"Arkansas",2021,15,655.192600713696
"Arkansas",2021,16,614.000469480026
"Arkansas",2021,17,599.258444936173
"Arkansas",2021,18,614.017222475578
"Arkansas",2021,19,598.776799230024
"Arkansas",2021,20,615.820343983511
"Arkansas",2021,21,634.585612305923
"Arkansas",2021,22,592.56209638802
"Arkansas",2021,23,589.081444821034
"Arkansas",2021,24,643.347102236373
"Arkansas",2021,25,567.841406596705
"Arkansas",2021,26,582.338957179928
"Arkansas",2021,27,595.347281777751
"Arkansas",2021,28,598.34184778858
"Arkansas",2021,29,600.58976817289
"Arkansas",2021,30,554.597124764556
"Arkansas",2021,31,571.598971499349
"Arkansas",2021,32,599.858357458113
"Arkansas",2021,33,587.351306942743
"Arkansas",2021,34,597.355521405968
"Arkansas",2021,35,576.593342479009
"Arkansas",2021,36,557.080789743819
"Arkansas",2021,37,643.860555707182
"Arkansas",2021,38,614.102285321507
"Arkansas",2021,39,603.862004756533
"Arkansas",2021,40,579.599036738581
"Arkansas",2021,41,600.605733247141
"Arkansas",2021,42,618.109088245064
"Arkansas",2021,43,643.835428183434
"Arkansas",2021,44,616.84077484677
"Arkansas",2021,45,636.613791743401
"Arkansas",2021,46,679.608462795716
"Arkansas",2021,47,657.101131508497
"Arkansas",2021,48,673.607137227371
"Arkansas",2021,49,630.10247148589
"Arkansas",2021,50,676.346804710929
"Arkansas",2021,51,639.584468334473
"Arkansas",2021,52,713.360145473913
"Arkansas",2022,1,713.972208990966
"Arkansas",2022,2,674.059645204859
"Arkansas",2022,3,713.997114540672
"Arkansas",2022,4,699.95827917419
"Arkansas",2022,5,689.65766311893
"Arkansas",2022,6,692.289338599756
